disease,combined_text
Schizophrenia,"Disease: Schizophrenia | Disease Description: Schizophrenia is a severe psychiatric disorder involving distortions in thinking, perception, emotions, language, and behavior, often with hallucinations or delusions. | Precautions Recommendation: Adhere to medication, Avoid substance abuse, Attend therapy sessions, Build a support network | Medicines Recommendation: ['Antipsychotics (e.g., Risperidone, Olanzapine)', 'Clozapine (treatment-resistant cases)', 'Cognitive behavioral therapy', 'Long-acting injectables', 'Psychosocial support'] | Diet Recommendation: ['Omega-3 fatty acids (fish, flaxseeds)', 'Complex carbs (whole grains, vegetables)', 'Vitamin B-complex foods (eggs, nuts)', 'Antioxidant-rich foods (berries, citrus)', 'Limit caffeine and processed foods'] | Workouts Recommendation: [""Structured group workouts: Promote social interaction"", ""Walking or jogging: Boosts brain chemicals"", ""Tai chi: Improves focus and calm"", ""Avoid sensory overload: Choose quiet environments""]"
Sepsis,"Disease: Sepsis | Disease Description: Sepsis is a life-threatening response to infection where the body’s immune system causes widespread inflammation, leading to tissue damage, organ failure, and possibly death. | Precautions Recommendation: Seek urgent medical care, Follow antibiotic regimen, Monitor temperature & vitals, Maintain good hygiene | Medicines Recommendation: ['IV broad-spectrum antibiotics (e.g., Piperacillin-tazobactam)', 'IV fluids', 'Vasopressors (e.g., Norepinephrine)', 'Oxygen therapy', 'Source control (e.g., drainage of abscess)'] | Diet Recommendation: ['High-protein foods (eggs, lean meat)', 'Hydration', 'Vitamin C and zinc-rich foods (citrus fruits, pumpkin seeds)', 'Balanced electrolyte intake', 'Consult doctor for specific nutritional support'] | Workouts Recommendation: [""Rest and rehabilitation: After acute phase"", ""Gentle walking: Gradual rebuilding"", ""Physical therapy: Restore strength"", ""Avoid overexertion: Recovery can be long-term""]"
Cholecystitis,"Disease: Cholecystitis | Disease Description: Cholecystitis is inflammation of the gallbladder, often due to gallstones, causing severe upper abdominal pain, fever, nausea, and tenderness. | Precautions Recommendation: Avoid fatty foods, Stay hydrated, Follow up for imaging/tests, Take antibiotics as prescribed | Medicines Recommendation: ['IV antibiotics (e.g., Ceftriaxone + Metronidazole)', 'Pain relievers (e.g., Morphine)', 'IV fluids', 'NPO (nothing by mouth)', 'Cholecystectomy (surgical removal of gallbladder)'] | Diet Recommendation: ['Low-fat diet (lean proteins, vegetables)', 'Avoid fried and fatty foods', 'High-fiber foods (whole grains, fruits)', 'Hydration', 'Small frequent meals'] | Workouts Recommendation: [""Gentle movement: After inflammation resolves"", ""Avoid high-fat pre-workout meals"", ""Walking: Improves digestion"", ""Avoid core strain: Prevent gallbladder pressure""]"
Cystitis,"Disease: Cystitis | Disease Description: Cystitis is inflammation of the bladder, usually from a bacterial infection, leading to frequent, painful urination and lower abdominal discomfort. | Precautions Recommendation: Drink cranberry juice or water, Urinate frequently, Avoid irritants like caffeine, Wipe front to back | Medicines Recommendation: ['Nitrofurantoin', 'Trimethoprim-sulfamethoxazole', 'Fosfomycin', 'Phenazopyridine (for pain relief)', 'Hydration'] | Diet Recommendation: ['Hydration (water, cranberry juice)', 'Avoid caffeine and alcohol', 'Vitamin C-rich foods (oranges, strawberries)', 'Probiotics (yogurt, kefir)', 'Avoid spicy and acidic foods'] | Workouts Recommendation: [""Walking: Safe and bladder-friendly"", ""Hydration focus: Before and after"", ""Pelvic floor exercises: Improve control"", ""Avoid workouts that cause dehydration""]"
Hemorrhoids,"Disease: Hemorrhoids | Disease Description: Hemorrhoids are swollen veins in the anus or rectum that cause pain, itching, bleeding, or discomfort during bowel movements. | Precautions Recommendation: Eat fiber-rich foods, Avoid prolonged sitting, Stay hydrated, Use sitz baths | Medicines Recommendation: ['Topical hydrocortisone cream', 'Witch hazel pads', 'Stool softeners (e.g., Docusate)', 'Sitz baths', 'Surgical procedures (e.g., rubber band ligation)'] | Diet Recommendation: ['High-fiber foods (whole grains, fruits, vegetables)', 'Hydration', 'Avoid straining and constipation', 'Limit caffeine and alcohol', 'Probiotics (yogurt, kimchi)'] | Workouts Recommendation: [""Walking: Reduces pressure on rectal veins"", ""Kegel exercises: Improve blood flow"", ""Avoid heavy lifting: Prevent flare-ups"", ""Gentle yoga: Especially pelvic-friendly poses""]"
Contact Dermatitis,"Disease: Contact Dermatitis | Disease Description: Contact dermatitis is a skin inflammation caused by exposure to an irritant or allergen, resulting in redness, itching, blisters, or dryness. | Precautions Recommendation: Identify and avoid allergen, Use fragrance-free products, Apply soothing lotion, Wear gloves when needed | Medicines Recommendation: ['Topical corticosteroids (e.g., Hydrocortisone)', 'Oral antihistamines', 'Moisturizers', 'Avoidance of allergen/irritant', 'Oral corticosteroids (if severe)'] | Diet Recommendation: ['Avoid allergenic foods', 'Anti-inflammatory foods (turmeric, ginger)', 'Hydrating fluids', 'Vitamin E-rich foods (nuts, seeds)', 'Probiotics (fermented foods)'] | Workouts Recommendation: [""Avoid sweating heavily: Can irritate skin"", ""Indoor stretching: Cool and dry"", ""Use breathable clothing: During workouts"", ""Clean skin after exercise: Prevent flare-ups""]"
Sinus Bradycardia,"Disease: Sinus Bradycardia | Disease Description: Sinus bradycardia is a slower than normal heart rate originating from the sinus node, which may be normal in athletes or caused by medications or medical conditions. | Precautions Recommendation: Avoid excessive physical strain, Regular cardiac monitoring, Follow-up with cardiologist, Manage electrolyte balance | Medicines Recommendation: ['Atropine (acute cases)', 'Temporary or permanent pacemaker (if symptomatic)', 'Adjust medications (if drug-induced)', 'Isoproterenol infusion (if needed)', 'Monitor ECG'] | Diet Recommendation: ['Balanced diet with adequate electrolytes (potassium from bananas, magnesium from nuts)', 'Hydration', 'Limit caffeine and alcohol', 'Whole grains and lean proteins', 'Consult cardiologist'] | Workouts Recommendation: [""Light aerobic activity: Walking or slow cycling"", ""Warm-up and cool-down: Essential to prevent dizziness"", ""Breathing exercises: Support heart rhythm"", ""Avoid overexertion: Monitor heart rate""]"
Pelvic Inflammatory Disease,"Disease: Pelvic Inflammatory Disease | Disease Description: Pelvic inflammatory disease (PID) is an infection of the female reproductive organs, often caused by sexually transmitted bacteria, leading to abdominal pain, fever, and abnormal discharge. | Precautions Recommendation: Complete full course of antibiotics, Avoid sexual activity during treatment, Practice safe sex, Attend follow-up appointments | Medicines Recommendation: ['Ceftriaxone + Doxycycline + Metronidazole', 'Pain relievers', 'Hospitalization (for severe cases)', 'Partner treatment', 'Abstain from intercourse during treatment'] | Diet Recommendation: ['Hydration', 'Protein-rich foods (chicken, beans)', 'Vitamin C-rich foods (citrus fruits)', 'Avoid irritants and processed foods', 'Probiotics (yogurt, kefir)'] | Workouts Recommendation: [""Pelvic floor strengthening: Aid recovery"", ""Walking: Supports circulation"", ""Avoid high-impact sports: Prevent discomfort"", ""Gentle yoga: Pelvic-friendly movements""]"
Liver Disease,"Disease: Liver Disease | Disease Description: Liver disease refers to a range of disorders affecting the liver, such as hepatitis, fatty liver, or cirrhosis, potentially causing jaundice, fatigue, and liver dysfunction. | Precautions Recommendation: Avoid alcohol, Follow a liver-friendly diet, Get vaccinated for hepatitis, Monitor liver function tests | Medicines Recommendation: ['Lactulose (for hepatic encephalopathy)', 'Diuretics (e.g., Spironolactone)', 'Vitamin K (if coagulopathy)', 'Ursodeoxycholic acid', 'Antivirals (e.g., Tenofovir for HBV)'] | Diet Recommendation: ['Low sodium diet (avoid processed foods)', 'High-protein foods (eggs, lean meats)', 'Vitamin-rich foods (leafy greens, fruits)', 'Avoid alcohol and saturated fats', 'Hydration'] | Workouts Recommendation: [""Walking: Promotes liver circulation"", ""Avoid strenuous workouts: Can worsen fatigue"", ""Strength training (light): Improve muscle mass"", ""Avoid alcohol-based environments (gyms with bars etc.): Stay safe""]"
Chronic Constipation,"Disease: Chronic Constipation | Disease Description: Chronic constipation is a long-term condition characterized by infrequent or difficult bowel movements, often accompanied by abdominal discomfort or bloating. | Precautions Recommendation: Increase fiber intake, Exercise regularly, Stay hydrated, Avoid delaying bowel movements | Medicines Recommendation: ['Laxatives (e.g., Polyethylene glycol)', 'Stool softeners (e.g., Docusate)', 'Fiber supplements (e.g., Psyllium)', 'Osmotic agents (e.g., Lactulose)', 'Prokinetics'] | Diet Recommendation: ['High-fiber foods (whole grains, fruits, vegetables)', 'Hydration', 'Probiotics (yogurt, kimchi)', 'Limit processed and fatty foods', 'Regular meals and physical activity'] | Workouts Recommendation: [""Walking: Stimulates bowel movement"", ""Yoga: Helps with digestion"", ""Core-focused stretching: Gently activates abdomen"", ""Hydration pre- and post-workout: Key support""]"
Skin Polyp,"Disease: Skin Polyp | Disease Description: A skin polyp (skin tag) is a small, benign growth of skin that typically appears in areas where skin rubs together, like the neck, armpits, or groin. | Precautions Recommendation: Avoid irritation or injury to area, Monitor size and appearance, Don’t self-remove, Seek medical evaluation | Medicines Recommendation: ['Cryotherapy', 'Electrosurgical removal', 'Snare excision', 'Topical anesthesia', 'Histopathology (to rule out malignancy)'] | Diet Recommendation: ['Balanced diet with antioxidants (berries, leafy greens)', 'Vitamin A-rich foods (carrots, sweet potatoes)', 'Hydration', 'Avoid processed and fried foods', 'Omega-3 fatty acids (fish, flaxseeds)'] | Workouts Recommendation: [""Avoid friction-prone exercises: Prevent irritation"", ""Wear soft, non-abrasive clothing"", ""Gentle yoga or walking"", ""Monitor any changes during workout routines""]"
Brachial Neuritis,"Disease: Brachial Neuritis | Disease Description: Brachial neuritis is inflammation of the brachial plexus nerves, causing sudden shoulder and arm pain followed by weakness or numbness. | Precautions Recommendation: Avoid heavy lifting, Physical therapy, Manage pain with meds, Get adequate rest | Medicines Recommendation: ['NSAIDs', 'Oral corticosteroids', 'Gabapentin or Pregabalin', 'Physical therapy', 'Pain management'] | Diet Recommendation: ['Protein-rich foods (chicken, beans)', 'Anti-inflammatory foods (turmeric, ginger)', 'Omega-3 fatty acids (salmon, walnuts)', 'Vitamin B complex (whole grains, eggs)', 'Hydration'] | Workouts Recommendation: [""Range-of-motion exercises: Restore shoulder movement"", ""Light resistance training: Under physiotherapy"", ""Avoid overhead lifting"", ""Pain management with guided stretching""]"
Esophagitis,"Disease: Esophagitis | Disease Description: Esophagitis is inflammation of the esophagus, commonly due to acid reflux, infections, or medications, causing pain when swallowing and chest discomfort. | Precautions Recommendation: Avoid spicy & acidic food, Eat smaller meals, Sit upright after eating, Follow prescribed medication | Medicines Recommendation: ['Proton Pump Inhibitors (e.g., Omeprazole)', 'H2 Blockers (e.g., Ranitidine)', 'Sucralfate', 'Antifungal or antiviral agents (if infectious)', 'Dietary changes'] | Diet Recommendation: ['Soft, bland diet (bananas, applesauce, oatmeal)', 'Avoid spicy, acidic, and fatty foods', 'Small frequent meals', 'Hydration', 'Avoid caffeine and alcohol'] | Workouts Recommendation: [""Avoid high-impact workouts post meals"", ""Walking: Gentle digestive aid"", ""Breathing exercises: Ease reflux"", ""No crunches or abdominal pressure""]"
Diverticulitis,"Disease: Diverticulitis | Disease Description: Diverticulitis is inflammation or infection of small pouches (diverticula) in the colon wall, leading to abdominal pain, fever, and changes in bowel habits. | Precautions Recommendation: Eat low-fiber during flare-ups, Stay hydrated, Take antibiotics if prescribed, Avoid seeds/nuts if advised | Medicines Recommendation: ['Antibiotics (e.g., Ciprofloxacin + Metronidazole)', 'Clear liquid diet (during flare)', 'Pain relievers', 'High-fiber diet (after recovery)', 'Surgery (if complications)'] | Diet Recommendation: ['Low-fiber diet during flare-up (white bread, white rice)', 'Hydration', 'Gradual increase to high-fiber diet (fruits, vegetables, whole grains)', 'Avoid nuts and seeds during flare-ups', 'Probiotics'] | Workouts Recommendation: [""Rest: During acute phase"", ""Walking: Light and easy on digestion"", ""Avoid heavy weights: Prevent abdominal strain"", ""Hydration support during and after workouts""]"
Sprain Or Strain,"Disease: Sprain Or Strain | Disease Description: A sprain is a stretched or torn ligament, while a strain is a stretched or torn muscle or tendon; both cause pain, swelling, and limited movement. | Precautions Recommendation: Rest the area, Apply ice packs, Compression with bandage, Elevate the limb | Medicines Recommendation: ['RICE (Rest, Ice, Compression, Elevation)', 'NSAIDs (e.g., Ibuprofen)', 'Muscle relaxants', 'Physical therapy', 'Immobilization (if needed)'] | Diet Recommendation: ['Protein-rich foods (lean meat, eggs)', 'Anti-inflammatory foods (ginger, turmeric)', 'Vitamin C-rich foods (citrus fruits)', 'Hydration', 'Zinc-rich foods (nuts, seeds)'] | Workouts Recommendation: [""RICE first (rest, ice, compress, elevate)"", ""Gentle range-of-motion exercises: After pain subsides"", ""Avoid re-injury: Use supports if needed"", ""Rehabilitation-focused strength training""]"
Idiopathic Painful Menstruation,"Disease: Idiopathic Painful Menstruation | Disease Description: Idiopathic painful menstruation (primary dysmenorrhea) is severe menstrual cramping without an identifiable medical condition, often starting in adolescence. | Precautions Recommendation: Use heat pads, Take antispasmodics/NSAIDs, Regular exercise, Avoid stress | Medicines Recommendation: ['NSAIDs (e.g., Ibuprofen)', 'Oral contraceptives', 'Heat therapy', 'Vitamin B1 and magnesium supplements', 'Physical activity'] | Diet Recommendation: ['Magnesium-rich foods (spinach, dark chocolate)', 'Omega-3 fatty acids (salmon, walnuts)', 'Hydration', 'Avoid salty and processed foods', 'Ginger and turmeric tea'] | Workouts Recommendation: [""Yoga: Especially child’s pose and reclined twist"", ""Walking: Helps reduce cramps"", ""Heat therapy post-exercise: Relieves pain"", ""Avoid high-intensity workouts during pain spikes""]"
Eustachian Tube Dysfunction (Ear Disorder),"Disease: Eustachian Tube Dysfunction (Ear Disorder) | Disease Description: Eustachian tube dysfunction occurs when the tube connecting the middle ear to the throat becomes blocked or fails to open, causing pressure, pain, or hearing issues. | Precautions Recommendation: Avoid flying with a cold, Use decongestants, Perform Valsalva maneuver, Stay hydrated | Medicines Recommendation: ['Nasal decongestants', 'Nasal corticosteroids', 'Auto-inflation (e.g., Valsalva maneuver)', 'Antihistamines', 'Surgical placement of ear tubes (in severe cases)'] | Diet Recommendation: ['Anti-inflammatory foods (berries, leafy greens)', 'Vitamin C-rich foods (oranges, peppers)', 'Hydration', 'Avoid dairy if congestion worsens', 'Probiotics (yogurt)'] | Workouts Recommendation: [""Avoid pressure changes: No underwater or flying sports"", ""Breathing and jaw exercises: Promote drainage"", ""Gentle yoga: Avoid headstand poses"", ""Walking: Comfortable, low pressure""]"
Appendicitis,"Disease: Appendicitis | Disease Description: Appendicitis is inflammation of the appendix, usually requiring surgery, and causes sudden lower right abdominal pain, nausea, and fever. | Precautions Recommendation: Avoid taking laxatives, Seek emergency care, Don’t eat or drink before surgery, Follow post-op instructions | Medicines Recommendation: ['Surgical removal (Appendectomy)', 'Pre-operative antibiotics (e.g., Ceftriaxone + Metronidazole)', 'Pain management', 'IV fluids', 'NPO status before surgery'] | Diet Recommendation: ['Post-surgery: soft foods (broths, rice, applesauce)', 'Hydration', 'Avoid high-fat and spicy foods', 'Gradually introduce fiber (vegetables, fruits)', 'Probiotics'] | Workouts Recommendation: [""Complete rest post-surgery"", ""Physical therapy: If surgery involved"", ""Walking: Introduced gradually"", ""Avoid abdominal workouts until cleared""]"
Hyperemesis Gravidarum,"Disease: Hyperemesis Gravidarum | Disease Description: Hyperemesis gravidarum is a severe form of morning sickness in pregnancy, leading to persistent nausea, vomiting, dehydration, and weight loss. | Precautions Recommendation: Eat small, frequent meals, Stay hydrated, Avoid strong odors, Take prescribed anti-nausea meds | Medicines Recommendation: ['IV fluids and electrolytes', 'Vitamin B6 (Pyridoxine)', 'Antiemetics (e.g., Ondansetron, Promethazine)', 'Thiamine supplementation', 'Nutritional support (e.g., TPN if severe)'] | Diet Recommendation: ['Small frequent meals', 'Bland foods (crackers, rice)', 'Ginger tea', 'Vitamin B6-rich foods (bananas, chickpeas)', 'Hydration with electrolytes (ORS, coconut water)'] | Workouts Recommendation: [""Gentle walking: If tolerated"", ""Prenatal yoga: Helps manage nausea"", ""Avoid fast movements: Prevent triggering symptoms"", ""Hydration breaks essential""]"
Urinary Tract Infection,"Disease: Urinary Tract Infection | Disease Description: A urinary tract infection (UTI) is an infection in any part of the urinary system, commonly the bladder, causing pain during urination, urgency, and cloudy or strong-smelling urine. | Precautions Recommendation: Drink plenty of fluids, Urinate after sex, Wipe front to back, Complete antibiotic course | Medicines Recommendation: ['Nitrofurantoin', 'Ciprofloxacin', 'Trimethoprim-sulfamethoxazole', 'Cranberry supplements', 'Hydration therapy'] | Diet Recommendation: ['Hydration (water, cranberry juice)', 'Avoid caffeine, alcohol, and spicy foods', 'Vitamin C-rich foods (citrus, bell peppers)', 'Probiotics (yogurt, kefir)', 'Fiber-rich foods'] | Workouts Recommendation: [""Walking: Gentle activity safe during mild infections"", ""Avoid workouts that apply pressure to bladder"", ""Hydration-focused workouts"", ""Pelvic floor exercises: Strengthen urinary control""]"
Peripheral Nerve Disorder,"Disease: Peripheral Nerve Disorder | Disease Description: Peripheral nerve disorders affect the nerves outside the brain and spinal cord, leading to numbness, weakness, pain, or coordination problems. | Precautions Recommendation: Avoid repetitive injury, Use ergonomic tools, Take B vitamins if deficient, Follow neurologist’s advice | Medicines Recommendation: ['Gabapentin', 'Pregabalin', 'Amitriptyline', 'Physical therapy', 'Alpha-lipoic acid (as supplement)'] | Diet Recommendation: ['Vitamin B-rich foods (whole grains, eggs, leafy greens)', 'Omega-3 fatty acids (salmon, chia seeds)', 'Anti-inflammatory foods (turmeric, berries)', 'Hydration'] | Workouts Recommendation: [""Balance training: Prevent falls"", ""Physical therapy: Guided nerve rehab"", ""Stretching: Maintain flexibility"", ""Swimming: Low-impact full-body option""]"
Sebaceous Cyst,"Disease: Sebaceous Cyst | Disease Description: A sebaceous cyst is a noncancerous bump beneath the skin, filled with oily material, often caused by blocked sebaceous glands. | Precautions Recommendation: Keep area clean, Avoid squeezing, Apply warm compress, Get it drained by a doctor if needed | Medicines Recommendation: ['Warm compress', 'Incision and drainage (if infected)', 'Antibiotics (if signs of infection)', 'Surgical excision', 'Steroid injection (if inflamed)'] | Diet Recommendation: ['Anti-inflammatory foods (ginger, turmeric, leafy greens)', 'Zinc-rich foods (pumpkin seeds, nuts)', 'Vitamin A-rich foods (carrots, sweet potatoes)', 'Hydration'] | Workouts Recommendation: [""Avoid pressure or friction on cyst"", ""Low-sweat activities: Prevent irritation"", ""Walking or yoga: With non-abrasive clothing"", ""Avoid helmets/hats if cyst is on scalp""]"
Spontaneous Abortion,"Disease: Spontaneous Abortion | Disease Description: Spontaneous abortion (miscarriage) is the loss of a pregnancy before 20 weeks, often due to genetic issues or unknown causes, and may involve bleeding and cramping. | Precautions Recommendation: Take emotional support, Rest adequately, Avoid strenuous activity, Follow up for check-up | Medicines Recommendation: ['Misoprostol (to complete expulsion)', 'Mifepristone + Misoprostol (in selected cases)', 'Dilation and curettage (if needed)', 'Rh immunoglobulin (if Rh-negative)', 'Emotional support and counseling'] | Diet Recommendation: ['Iron-rich foods (red meat, spinach)', 'Vitamin C (citrus, strawberries)', 'Folate-rich foods (legumes, dark leafy greens)', 'Hydration', 'Comforting herbal teas'] | Workouts Recommendation: [""Gentle stretching: Emotional and physical recovery"", ""Walking: When emotionally and physically ready"", ""Yoga: Calms the nervous system"", ""Avoid strenuous exercise: Until cleared by doctor""]"
Gallstone,"Disease: Gallstone | Disease Description: Gallstones are hardened deposits of digestive fluid in the gallbladder that can block bile flow, causing abdominal pain, nausea, and sometimes infection. | Precautions Recommendation: Avoid high-fat foods, Maintain a healthy weight, Eat regular meals, Follow up for surgical evaluation if needed | Medicines Recommendation: ['Ursodeoxycholic acid (in some cases)', 'Pain relievers (e.g., NSAIDs)', 'Cholecystectomy (surgical removal)', 'Antibiotics (if cholecystitis)', 'Dietary modifications'] | Diet Recommendation: ['Low-fat diet (steamed vegetables, lean meats)', 'High-fiber foods (whole grains, apples)', 'Avoid fried foods and refined carbs', 'Hydration', 'Small frequent meals'] | Workouts Recommendation: [""Avoid high-fat pre-workout meals"", ""Walking: Encourages digestion"", ""Breathing exercises: Reduce stress and spasm"", ""Avoid core-focused exercises: Prevent discomfort""]"
Multiple Sclerosis,"Disease: Multiple Sclerosis | Disease Description: Multiple sclerosis (MS) is an autoimmune disease where the immune system attacks the protective sheath of nerves, leading to weakness, vision problems, and coordination issues. | Precautions Recommendation: Avoid overheating, Follow medication schedule, Stay physically active, Rest when needed | Medicines Recommendation: ['Interferon beta', 'Glatiramer acetate', 'Natalizumab', 'Corticosteroids (for flare-ups)', 'Disease-modifying therapies (e.g., Fingolimod)'] | Diet Recommendation: ['Omega-3 fatty acids (flaxseeds, salmon)', 'Vitamin D-rich foods (eggs, fortified milk)', 'Antioxidant-rich foods (berries, spinach)', 'Limit saturated fats', 'Probiotics'] | Workouts Recommendation: [""Balance training: Prevent falls"", ""Aqua therapy: Joint-friendly"", ""Stretching: Reduce stiffness"", ""Seated resistance training: Build strength safely""]"
Angina,"Disease: Angina | Disease Description: Angina is chest pain or discomfort due to reduced blood flow to the heart muscle, often triggered by exertion or stress, and relieved by rest or medication. | Precautions Recommendation: Avoid overexertion, Take nitroglycerin as prescribed, Manage stress, Avoid cold exposure | Medicines Recommendation: ['Nitroglycerin (sublingual)', 'Beta-blockers', 'Calcium channel blockers', 'Aspirin', 'Statins'] | Diet Recommendation: ['Heart-healthy diet (oats, olive oil, fish)', 'Omega-3 fatty acids (salmon, flaxseed)', 'Low-sodium foods', 'Fruits and vegetables', 'Avoid trans fats and red meat'] | Workouts Recommendation: [""Cardiac rehab exercises: Under supervision"", ""Walking on flat ground: Safe cardiovascular option"", ""Avoid cold-weather workouts: Prevent constriction"", ""No heavy lifting: Can trigger symptoms""]"
Skin Pigmentation Disorder,"Disease: Skin Pigmentation Disorder | Disease Description: Skin pigmentation disorders involve changes in skin color due to excess or lack of melanin, such as vitiligo, melasma, or hyperpigmentation. | Precautions Recommendation: Use sunscreen daily, Avoid skin irritants, Follow dermatological treatments, Stay hydrated | Medicines Recommendation: ['Hydroquinone cream', 'Topical retinoids', 'Azelaic acid', 'Chemical peels', 'Laser therapy (for resistant cases)'] | Diet Recommendation: ['Vitamin C-rich foods (oranges, bell peppers)', 'Vitamin E-rich foods (almonds, sunflower seeds)', 'Beta-carotene (carrots, sweet potatoes)', 'Hydration', 'Green tea'] | Workouts Recommendation: [""Avoid sun exposure: Exercise indoors or with protection"", ""Low-sweat activities: Prevent friction and inflammation"", ""Yoga: Gentle and non-irritating"", ""Hydration: Helps skin health""]"
Personality Disorder,"Disease: Personality Disorder | Disease Description: Personality disorders are mental health conditions involving rigid and unhealthy patterns of thinking, functioning, and behaving that impair social or occupational life. | Precautions Recommendation: Follow psychotherapy plan, Avoid substance use, Build healthy relationships, Maintain regular routines | Medicines Recommendation: ['Psychotherapy (e.g., DBT for BPD)', 'SSRIs (for mood symptoms)', 'Mood stabilizers (e.g., Lithium)', 'Antipsychotics (in some cases)', 'Group therapy'] | Diet Recommendation: ['Balanced diet', 'Omega-3 fatty acids (walnuts, flaxseed)', 'Vitamin B-complex (eggs, legumes)', 'Magnesium-rich foods (dark chocolate, spinach)', 'Avoid sugar and processed foods'] | Workouts Recommendation: [""Team sports: Encourage social interaction"", ""Walking or running: Structured routine helps mood"", ""Yoga or tai chi: Promote mindfulness"", ""Supervised fitness coaching: Builds discipline and trust""]"
Strep Throat,"Disease: Strep Throat | Disease Description: Strep throat is a bacterial throat infection caused by Streptococcus pyogenes, leading to sore throat, fever, swollen glands, and red tonsils with white patches. | Precautions Recommendation: Complete full antibiotic course, Avoid sharing utensils, Get adequate rest, Drink warm fluids | Medicines Recommendation: ['Penicillin', 'Amoxicillin', 'Azithromycin (if allergic to penicillin)', 'Analgesics (e.g., Acetaminophen)', 'Salt water gargles'] | Diet Recommendation: ['Soft foods (soups, mashed potatoes)', 'Warm teas (ginger, chamomile)', 'Hydration', 'Avoid acidic or spicy foods', 'Vitamin C-rich foods (oranges, strawberries)'] | Workouts Recommendation: [""Rest: Until infection clears"", ""Avoid cardio: While febrile or sore throat"", ""Walking: Gradually after symptoms ease"", ""Hydration and vocal rest after workouts""]"
Developmental Disability,"Disease: Developmental Disability | Disease Description: Developmental disabilities are chronic conditions that begin in childhood and affect physical, learning, language, or behavioral areas, such as autism or intellectual disability. | Precautions Recommendation: Follow individualized education plans, Encourage structured routine, Regular therapy, Provide positive reinforcement | Medicines Recommendation: ['Speech therapy', 'Occupational therapy', 'Behavioral therapy', 'Medications (e.g., Risperidone for irritability in autism)', 'Special education programs'] | Diet Recommendation: ['Balanced, nutrient-dense diet', 'Omega-3 fatty acids (fish, flaxseeds)', 'B vitamins (whole grains, meat)', 'Fiber-rich foods', 'Limit sugar and artificial additives'] | Workouts Recommendation: [""Occupational therapy-integrated activities"", ""Swimming: Enhances motor coordination"", ""Group play or structured fitness"", ""Balance and core work: Tailored to individual ability""]"
Chronic Back Pain,"Disease: Chronic Back Pain | Disease Description: Chronic back pain is persistent or recurring pain in the back lasting more than three months, often due to structural issues, nerve damage, or degenerative conditions. | Precautions Recommendation: Maintain proper posture, Regular stretching, Use ergonomic furniture, Avoid lifting heavy objects | Medicines Recommendation: ['NSAIDs', 'Muscle relaxants', 'Physical therapy', 'Epidural steroid injections', 'Chronic pain management (e.g., TENS, acupuncture)'] | Diet Recommendation: ['Anti-inflammatory foods (berries, turmeric)', 'Calcium and Vitamin D (milk, cheese, eggs)', 'Magnesium-rich foods (nuts, leafy greens)', 'Omega-3s (salmon)'] | Workouts Recommendation: [""Core stabilization: Essential for support"", ""Water aerobics: Minimal spinal impact"", ""Stretching: Hamstrings, hips, and back"", ""Avoid high-impact sports""]"
Heart Failure,"Disease: Heart Failure | Disease Description: Heart failure is a condition where the heart can't pump blood effectively, leading to fatigue, shortness of breath, fluid retention, and reduced exercise capacity. | Precautions Recommendation: Monitor fluid intake, Follow low-sodium diet, Take prescribed meds, Track weight daily | Medicines Recommendation: ['ACE inhibitors', 'Beta-blockers', 'Loop diuretics (e.g., Furosemide)', 'Aldosterone antagonists (e.g., Spironolactone)', 'Digoxin (in some cases)'] | Diet Recommendation: ['Low-sodium diet', 'Fluid monitoring', 'Potassium-rich foods (bananas, sweet potatoes)', 'Omega-3 fatty acids (fish)', 'Avoid red meat and saturated fats'] | Workouts Recommendation: [""Supervised cardiac rehab: Custom-designed programs"", ""Walking: Slow and monitored"", ""Breathing techniques: Improve oxygen efficiency"", ""Avoid dehydration or sudden exertion""]"
Conjunctivitis,"Disease: Conjunctivitis | Disease Description: Conjunctivitis (pink eye) is inflammation of the conjunctiva of the eye due to infection or allergy, resulting in redness, discharge, and eye irritation. | Precautions Recommendation: Use prescribed eye drops, Avoid touching/rubbing eyes, Wash hands frequently, Don’t share towels | Medicines Recommendation: ['Antibiotic eye drops (e.g., Erythromycin, Moxifloxacin)', 'Antiviral drops (e.g., Ganciclovir for herpes)', 'Lubricant drops', 'Antihistamines (for allergic type)', 'Cool compresses'] | Diet Recommendation: ['Vitamin A-rich foods (carrots, spinach)', 'Zinc-rich foods (pumpkin seeds)', 'Hydration', 'Probiotics (yogurt)', 'Avoid dairy if allergic'] | Workouts Recommendation: [""Avoid water sports: Prevent further irritation"", ""Gentle indoor walking: Prevent eye strain"", ""Do not share gym equipment"", ""Clean face after workouts""]"
Herniated Disk,"Disease: Herniated Disk | Disease Description: A herniated disk occurs when the inner gel-like core of a spinal disc bulges out through a tear, pressing on nearby nerves and causing back pain, numbness, or weakness. | Precautions Recommendation: Avoid lifting heavy items, Follow physical therapy, Use proper posture, Take prescribed meds | Medicines Recommendation: ['NSAIDs', 'Physical therapy', 'Muscle relaxants', 'Steroid injections', 'Surgical discectomy (if severe)'] | Diet Recommendation: ['Anti-inflammatory diet (ginger, leafy greens)', 'Omega-3 fatty acids (fish, flaxseed)', 'Vitamin D and calcium (fortified foods, milk)', 'Hydration'] | Workouts Recommendation: [""McKenzie extension exercises: Under guidance"", ""Walking: Supports spine"", ""Core strengthening: Stabilizes back"", ""Avoid bending/twisting under load""]"
